Title,Author,Rating,Year
"Topeka School, the",Ben Lerner,5,2023
"Primer for Forgetting, A",Lewis Hyde,5,2023
Public Citizens,Paul Sabin,4,2023
Postwar,Tony Judt,4,2023
"Nordic Theory of Everything, the",Anu Partanen,4,2023
Linchpin,Seth Godin,4,2023
Just Ride,Grant Petersen,4,2023
"Gödel, Escher, Bach",Douglas Hofstadter,4,2023
Finite and Infinite Games,James Carse,4,2023
"Dispossessed, the",Ursula Le Guin,4,2023
Changes in the Land,William Cronon,4,2023
Write Useful Books,Rob Fitzpatrick,3,2023
When We Cease to Understand the World,Benjamin Labatut,3,2023
"Very Nice Box, the",Eve Gleichman and Laura Blackett,3,2023
"Shadow Rising, the",Robert Jordan,3,2023
Red Rising,Pierce Brown,3,2023
"Psychology of Money, the",Morgan Housel,3,2023
Parable of the Talents,Octavia E. Butler,3,2023
Parable of the Sower,Octavia E. Butler,3,2023
Obelisk Gate,N.K. Jemisin,3,2023
"Mathematical Proofs, an Introduction to",Nicholas Loehr,3,2023
"Master and His Emissary, the",Iain McGilchrist,3,2023
Make Time,Jake Knapp and John Zeratsky,3,2023
Magnificent Rebels,Andrea Wulf,3,2023
Jonathan Strange & Mr. Norrell,Susanna Clarke,3,2023
How to Read a Book,Mortimer Adler,3,2023
Good Arguments,Bo Seo,3,2023
From Slavery to the Cooperative Commonwealth,Alex Gourevitch,3,2023
Breath,James Nestor,3,2023
Ametora,W. David Marx,3,2023
America's Frozen Neighborhoods,Robert C. Ellickson,3,2023
All the Birds in the Sky,Charlie Jane Anders,3,2023
So Good They Can't Ignore You,Cal Newport,2,2023
Python Crash Course,Eric Matthes,2,2023
Piranesi,Susanna Clarke,2,2023
Neuromancer,William Gibson,2,2023
Morning Star,Pierce Brown,2,2023
"Moon Witch, Spider King",Marlon James,2,2023
"Left Alternative, the",Roberto Unger,2,2023
Hidden Rhythms,Eviatar Zerubavel,2,2023
Hell Yeah or No,Derek Sivers,2,2023
Good to Go,Christie Aschwanden,2,2023
Golden Son,Pierce Brown,2,2023
God Save Texas,Lawrence Wright,2,2023
"Eye of the World, the",Robert Jordan,2,2023
Essential Zen Habits,Leo Babauta,2,2023
Eric,Terry Pratchett,2,2023
Breaking Bread with the Dead,Alan Jacobs,2,2023
"Black Leopard, Red Wolf",Marlon James,2,2023
"Art of Leadership, the",Michael Lopp,2,2023
8 Dates,Gottman and Gottman,2,2023
Radical Focus,Christina Wodtke,1,2023
Radical Candor,Kim Scott,1,2023
"Myths We Live By, the",Mary Midgley,1,2023
Moving Pictures,Terry Pratchett,1,2023
How to be an Adult in Relationships,David Richio,1,2023
"Great Hunt, the",Robert Jordan,1,2023
"Fires of Heaven, the",Robert Jordan,1,2023
"Employees, the",Olga Ravn,1,2023
"Dragon Reborn, the",Robert Jordan,1,2023
"Court of Thorns and Roses, A",Sarah J. Maas,1,2023
Beyond Bullet Points,Cliff Atkinson,1,2023
Babel,R.F. Kuang,1,2023
"Art of Possibility, the",Roz and Benjamin Zander,1,2023
Strategic Project Management Made Simple,Terry Dean Schmidt,0,2023
Project Management For The Unofficial Project Manager,"Kogon, Blakemore, and Wood",0,2023
Essentialism,Greg McKeown,0,2023
Code,Charles Petzold,0,2023
Anathem,Neal Stephenson,0,2023
Sandman volumes 1-6,Neil Gaiman,5,2022
Leaves of Grass,Walt Whitman,5,2022
How Buildings Learn,Stewart Brand,5,2022
Where Good Ideas Come From,Stephen B. Johnson,4,2022
"Way of Kings, the",Brandon Sanderson,4,2022
Some Rain Must Fall,Karl Ove Knausgaard,4,2022
Scrum,Jeff Sutherland,4,2022
"Master and his Emissary, the",Iain McGilchrist,4,2022
Enemy of All Mankind,Stephen B. Johnson,4,2022
Dawn of Everything,David Graeber and David Wengrow,4,2022
"Wizard of Earthsea, a",Ursula Le Guin,3,2022
Seven Brief Lessons on Physics,Carlo Rovelle,3,2022
Sea of Tranquility,Emily St. John Mandel,3,2022
Rhythm of War,Brandon Sanderson,3,2022
Psalm for the Wild-Built,Becky Chambers,3,2022
Postwar,Tony Judt,3,2022
Nimona,ND Stevenson,3,2022
Mort,Terry Pratchett,3,2022
Lonesome Dove,Larry McMurty,3,2022
Hyperion,Dan Simmons,3,2022
"Glass Hotel, the",Emily St. John Mandel,3,2022
Data Detective,Tim Harford,3,2022
"Color of Magic, the",Terry Pratchett,3,2022
"Big Sleep, the",Raymond Chandler,3,2022
Words of Radiance,Brandon Sanderson,2,2022
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,2,2022
"Socratic Method, the",Ward Farnsworth,2,2022
Oathbringer,Brandon Sanderson,2,2022
Not Enough,Samuel Moyn,2,2022
"Mushroom at the End of the World, the",Anna Lowenhaupt Tsing,2,2022
Motherhood,Sheila Heti,2,2022
Let My People Go Surfing,Yvon Chouinard,2,2022
"Left Alternative, the",Roberto Unger,2,2022
Interview with the Vampire,Anne Rice,2,2022
How to Take Smart Notes,Sönke Ahrens,2,2022
How to Read a Book,Mortimer J. Adler and Charles Van Doen,2,2022
"Flamethrowers, the",Rachel Kushner,2,2022
"Fifth Season, the",NK Jemisin,2,2022
Either/Or,Elif Bautman,2,2022
Childhood's End,Arthur C. Clarke,2,2022
"Art of Statistics, the",David Spiegelhalter,2,2022
Afternoon Men,Anthony Powell,2,2022
Ways of Being,James Bridle,1,2022
"Quick and the Dead, the",Joy Williams,1,2022
Measure What Matters,John Doerr,1,2022
"Light Fantastic, the",Terry Pratchett,1,2022
Doing Agile Right,"Darrell Rigby, Sarah Elk, Steve Berez",1,2022
Asymmetry,Lisa Halliday,1,2022
77 Dream Songs,John Berryman,1,2022
Several Short Sentences About Writing,Verlyn Klinkenborg,5,2021
Holy the Firm,Annie Dillard,5,2021
The Pine Barrens,John McPhee,4,2021
